commune,total_employed_population,of_which_wage_earners,of_which_non_wage_earners,unemployed,active_population,unemployment_rate_in_percent,year
Canton Clervaux,7650,6670,980,572,8222,6.95694478229141,2016
Clervaux,2150,1900,250,206,2356,8.74363327674024,2016
Parc Hosingen,1500,1350,150,93,1593,5.83804143126177,2016
Troisvierges,1340,1200,140,100,1440,6.94444444444444,2016
Weiswampach,790,680,110,68,858,7.92540792540793,2016
Wincrange,1870,1540,330,105,1975,5.31645569620253,2016
Canton Diekirch,13530,12460,1070,1183,14713,8.04050839393734,2016
Bettendorf,1140,1050,90,86,1226,7.01468189233279,2016
Bourscheid,730,660,70,76,806,9.42928039702233,2016
Diekirch,2790,2580,210,265,3055,8.67430441898527,2016
Erpeldange-sur-Sure,1030,940,90,61,1091,5.59120073327223,2016
Ettelbruck,3470,3220,250,416,3886,10.7050952135872,2016
Feulen,880,810,70,42,922,4.55531453362256,2016
Mertzig,920,860,60,50,970,5.15463917525773,2016
Reisdorf,490,440,50,71,561,12.6559714795009,2016
Schieren,900,840,60,55,955,5.75916230366492,2016
Vallee de l'Ernz,1180,1060,120,61,1241,4.91539081385979,2016
Canton Redange,7770,6900,870,445,8215,5.4169202678028,2016
Beckerich,1040,940,100,46,1086,4.23572744014733,2016
Ell,560,490,70,22,582,3.78006872852234,2016
Grosbous,480,430,50,36,516,6.97674418604651,2016
Preizerdaul,750,680,70,37,787,4.70139771283355,2016
Rambrouch,1690,1450,240,137,1827,7.49863163656267,2016
Redange-sur-Attert,1130,1010,120,57,1187,4.80202190395956,2016
Saeul,340,300,40,21,361,5.81717451523546,2016
Useldange,800,720,80,33,833,3.96158463385354,2016
Vichten,590,540,50,34,624,5.44871794871795,2016
Wahl,390,340,50,22,412,5.33980582524272,2016
Canton Vianden,2240,2030,210,165,2405,6.86070686070686,2016
Putscheid,480,450,30,19,499,3.80761523046092,2016
Tandel,930,830,100,52,982,5.29531568228106,2016
Vianden,830,750,80,94,924,10.1731601731602,2016
Canton Wiltz,6410,5740,670,633,7043,8.9876473093852,2016
Boulaide,490,430,60,44,534,8.23970037453184,2016
Esch-sur-Sure,1090,980,110,76,1166,6.5180102915952,2016
Goesdorf,710,630,80,46,756,6.08465608465608,2016
Kiischpelt,470,420,50,41,511,8.02348336594912,2016
Lac de la Haute-Sure,700,600,100,56,756,7.40740740740741,2016
Wiltz,2460,2280,180,338,2798,12.0800571837026,2016
Winseler,490,400,90,32,522,6.13026819923372,2016
Canton Echternach,7640,6870,770,629,8269,7.60672390857419,2016
Beaufort,1110,1040,70,137,1247,10.9863672814755,2016
Bech,520,450,70,11,531,2.07156308851224,2016
Berdorf,710,630,80,70,780,8.97435897435897,2016
Consdorf,820,730,90,54,874,6.17848970251716,2016
Echternach,2170,1960,210,236,2406,9.80881130507066,2016
Mompach,530,470,60,30,560,5.35714285714286,2016
Rosport,970,840,130,54,1024,5.2734375,2016
Waldbillig,810,750,60,37,847,4.36835891381346,2016
Canton Grevenmacher,12100,10930,1170,606,12706,4.76940028333071,2016
Betzdorf,1500,1350,150,45,1545,2.9126213592233,2016
Biwer,750,670,80,30,780,3.84615384615385,2016
Flaxweiler,910,820,90,24,934,2.56959314775161,2016
Grevenmacher,2060,1910,150,149,2209,6.74513354459031,2016
